canal,bloco,movimento,min_equiv,visitas,tot_canal,classe,pct_tempo_loja,min_em_8h
DPP,Estoque,Separação de itens para abastecimento,42.66571067821068,16,3307.0,Apoio e análise,0.012901636128881367,6.192785341863056
DPP,Outras Atividades,Busca de produtos ou materiais em outros setores,14.016358641358645,9,3307.0,Deslocamento e busca,0.004238390880362456,2.034427622573979
DPP,Outras Atividades,Deslocamento interno dentro da loja,379.8393134643134,20,3307.0,Deslocamento e busca,0.11485918157372646,55.1324071553887
DPP,Outras Atividades,Leitura de loja (checklist / auditoria),382.33506756401493,22,3307.0,Apoio e análise,0.11561386984094797,55.49465752365503
DPP,Outras Atividades,Negociação com encarregado / gerente,21.370626595626597,10,3307.0,Apoio e análise,0.006462239672097549,3.1018750426068236
DPP,Outras Atividades,Tratamento de divergências (estoque/preço/validade),26.25515040515041,12,3307.0,Apoio e análise,0.007939265317553798,3.810847352425823
DPP,Ponto Extra,Abastecer seguindo guia de execução + KBD's,67.26861420743006,9,3307.0,Execução (agrega valor),0.02034128037720897,9.763814581060306
DPP,Ponto Extra,Limpeza do móvel / display,82.93429070929079,7,3307.0,Execução (agrega valor),0.02507840662512573,12.03763518006035
DPP,Ponto Extra,Montagem do display / ponto extra,86.45088522588526,8,3307.0,Execução (agrega valor),0.026141785674594877,12.548057123805542
DPP,Ponto Extra,Precificar todos os itens,99.29622132253716,8,3307.0,Execução (agrega valor),0.03002607236847208,14.412514736866598
DPP,Ponto Natural,Abastecimento e organização (Layout/KBDs etc),419.2692380718696,17,3307.0,Execução (agrega valor),0.1267823520023797,60.855528961142255
DPP,Ponto Natural,Buscar itens faltantes no estoque,78.71684134578872,11,3307.0,Deslocamento e busca,0.02380309686900173,11.425486497120831
DPP,Ponto Natural,Limpeza antes do abastecimento,85.34056331095805,13,3307.0,Execução (agrega valor),0.025806036683083775,12.386897607880211
DPP,Ponto Natural,Precificar todos os itens,99.46701704728017,12,3307.0,Execução (agrega valor),0.030077719095034827,14.437305165616717
DPP,Ponto Natural,Validar estoque virtual,52.85260594668491,9,3307.0,Apoio e análise,0.015982039899209224,7.671379151620428
DPP,Saída,Deixar o setor / estoque,9.126190476190477,7,3307.0,Deslocamento e busca,0.00275965844456924,1.324636053393235
DPP,Saída,Deslocamento até a saída da loja,10.790909090909091,9,3307.0,Deslocamento e busca,0.0032630508288204086,1.566264397833796
DPP,Saída,Guardar equipamentos / materiais,26.883333333333333,13,3307.0,Espera e burocracia,0.008129220844672916,3.9020260054429996
DPP,Saída,Saída da loja (portaria/catraca),25.657575757575756,11,3307.0,Espera e burocracia,0.007758565393884414,3.7241113890645186
GMR,Abertura,"Conferir encarte, Guia de PDV e MOP",45.1,6,3056.9999999999995,Apoio e análise,0.014753025842329083,7.08145240431796
GMR,Abertura,Cumprimentar gerente / encarregado,18.083333333333332,6,3056.9999999999995,Apoio e análise,0.005915385454148948,2.839385017991495
GMR,Abertura,Identificar pontos de atenção / rupturas,78.75,6,3056.9999999999995,Apoio e análise,0.025760549558390584,12.36506378802748
GMR,Abertura,Passar por todas as categorias puxando frentes,150.75,7,3056.9999999999995,Apoio e análise,0.04931305201177626,23.670264965652603
GMR,Abertura,Pegar relatório de estoque para conferência,107.33333333333334,5,3056.9999999999995,Apoio e análise,0.03511067495365828,16.853123977755974
GMR,Check Out,Abastecer seguindo o guia de execução,41.656410256410254,4,3056.9999999999995,Execução (agrega valor),0.013626565343935316,6.540751365088952
GMR,Check Out,Conferir KBD's (Direcionamentos Chaves),59.8362443112443,4,3056.9999999999995,Execução (agrega valor),0.01957351792974953,9.395288606279774
GMR,Check Out,Limpeza dos móveis antes do abastecimento,34.684981684981686,4,3056.9999999999995,Execução (agrega valor),0.011346084947655117,5.446120774874456
GMR,Check Out,Precificar todos os itens,55.17307692307693,4,3056.9999999999995,Execução (agrega valor),0.01804811152210564,8.663093530610707
GMR,Entrada,Chegada à loja (portaria/entrada),120.18333333333334,6,3056.9999999999995,Deslocamento e busca,0.03931414240540836,18.870788354596016
GMR,Entrada,Espera para autorização / cadastro / liberação,28.666666666666668,7,3056.9999999999995,Espera e burocracia,0.009377385236070223,4.5011449133137065
GMR,Entrada,Guardar pertences / retirar equipamentos / EPIs,32.5,5,3056.9999999999995,Espera e burocracia,0.01063133791298659,5.103042198233563
GMR,Entrada,Localizar o setor / estoque / responsável,34.33333333333333,6,3056.9999999999995,Deslocamento e busca,0.011231054410642241,5.390906117108276
GMR,Entrada,Registro de entrada (app / sistema do cliente),102.38333333333334,7,3056.9999999999995,Espera e burocracia,0.03349144040998801,16.075891396794248
GMR,Estoque,Deslocamento até o estoque,29.166666666666668,7,3056.9999999999995,Deslocamento e busca,0.0095409442808854,4.579653254824993
GMR,Estoque,Localizar produtos no estoque,91.76666666666667,7,3056.9999999999995,Deslocamento e busca,0.030018536691745725,14.408897612037949
GMR,Estoque,Organização / arrumação do estoque,119.93333333333334,7,3056.9999999999995,Apoio e análise,0.03923236288300077,18.83153418384037
GMR,Estoque,Retorno ao setor com os produtos,32.583333333333336,5,3056.9999999999995,Deslocamento e busca,0.01065859775378912,5.116126921818777
GMR,Estoque,Separação de itens para abastecimento,42.08333333333333,6,3056.9999999999995,Apoio e análise,0.013766219605277505,6.607785410533202
GMR,Outras Atividades,Busca de produtos ou materiais em outros setores,16.333333333333336,3,3056.9999999999995,Deslocamento e busca,0.005342928797295825,2.564605822701996
GMR,Outras Atividades,Deslocamento interno dentro da loja,406.25769230769237,5,3056.9999999999995,Deslocamento e busca,0.13289424020532956,63.78923529855819
GMR,Outras Atividades,Leitura de loja (checklist / auditoria),131.76666666666645,4,3056.9999999999995,Apoio e análise,0.04310326027695992,20.689564932940762
GMR,Outras Atividades,Negociação com encarregado / gerente,24.83333333333333,4,3056.9999999999995,Apoio e análise,0.008123432559153855,3.8992476283938506
GMR,Outras Atividades,Tratamento de divergências (estoque/preço/validade),14.0,3,3056.9999999999995,Apoio e análise,0.004579653254824992,2.198233562315996
GMR,Ponto Extra,Abastecer seguindo guia de execução + KBD's,43.83333333333333,5,3056.9999999999995,Execução (agrega valor),0.01433867626213063,6.882564605822703
GMR,Ponto Extra,Limpeza do móvel / display,33.333333333333336,5,3056.9999999999995,Execução (agrega valor),0.010903936321011888,5.2338894340857065
GMR,Ponto Extra,Montagem do display / ponto extra,57.08333333333333,5,3056.9999999999995,Execução (agrega valor),0.018672990949732855,8.96303565587177
GMR,Ponto Extra,Precificar todos os itens,39.19047619047619,5,3056.9999999999995,Execução (agrega valor),0.012819913703132547,6.153558577503623
GMR,Ponto Natural,Abastecimento e organização (Layout/KBDs etc),343.98611111111103,6,3056.9999999999995,Execução (agrega valor),0.11252407952604222,54.011558172500266
GMR,Ponto Natural,Buscar itens faltantes no estoque,189.71360028860022,6,3056.9999999999995,Deslocamento e busca,0.06205875050330397,29.788200241585905
GMR,Ponto Natural,Limpeza antes do abastecimento,132.08376623376614,6,3056.9999999999995,Execução (agrega valor),0.04320698928157218,20.739354855154648
GMR,Ponto Natural,Precificar todos os itens,171.2142857142856,5,3056.9999999999995,Execução (agrega valor),0.05600729006028316,26.883499228935918
GMR,Ponto Natural,Validar estoque virtual,122.73668831168824,6,3056.9999999999995,Apoio e análise,0.04014939100807598,19.271707683876468
GMR,Saída,Deixar o setor / estoque,17.666666666666668,6,3056.9999999999995,Deslocamento e busca,0.005779086250136301,2.7739614000654242
GMR,Saída,Deslocamento até a saída da loja,26.0,6,3056.9999999999995,Deslocamento e busca,0.008505070330389271,4.08243375858685
GMR,Saída,Guardar equipamentos / materiais,36.0,6,3056.9999999999995,Espera e burocracia,0.011776251226692838,5.652600588812562
GMR,Saída,Saída da loja (portaria/catraca),26.0,4,3056.9999999999995,Espera e burocracia,0.008505070330389271,4.08243375858685
HFS,Abertura,"Conferir encarte, Guia de PDV e MOP",81.33333333333333,8,1946.0,Apoio e análise,0.041795135320315174,20.061664953751283
HFS,Abertura,Cumprimentar gerente / encarregado,30.666666666666664,7,1946.0,Apoio e análise,0.015758821514217196,7.564234326824254
HFS,Abertura,Identificar pontos de atenção / rupturas,72.06666666666666,7,1946.0,Apoio e análise,0.037033230558410415,17.775950668036998
HFS,Abertura,Passar por todas as categorias puxando frentes,106.23333333333333,8,1946.0,Apoio e análise,0.05459061322370675,26.20349434737924
HFS,Abertura,Pegar relatório de estoque para conferência,86.33333333333334,8,1946.0,Apoio e análise,0.04436450839328537,21.29496402877698
HFS,Check Out,Abastecer seguindo o guia de execução,90.59372294372295,8,1946.0,Execução (agrega valor),0.046553814462344786,22.3458309419255
HFS,Check Out,Conferir KBD's (Direcionamentos Chaves),25.59372294372294,7,1946.0,Execução (agrega valor),0.013151964513732241,6.312942966591476
HFS,Check Out,Limpeza dos móveis antes do abastecimento,57.027056277056275,8,1946.0,Execução (agrega valor),0.02930475656580487,14.066283151586337
HFS,Check Out,Precificar todos os itens,73.59372294372292,8,1946.0,Execução (agrega valor),0.03781794601424611,18.15261408683813
HFS,Entrada,Chegada à loja (portaria/entrada),169.5,6,1946.0,Deslocamento e busca,0.08710174717368963,41.80883864337102
HFS,Entrada,Espera para autorização / cadastro / liberação,20.0,5,1946.0,Espera e burocracia,0.010277492291880781,4.933196300102775
HFS,Entrada,Guardar pertences / retirar equipamentos / EPIs,35.83333333333333,7,1946.0,Espera e burocracia,0.018413840356286397,8.83864337101747
HFS,Entrada,Localizar o setor / estoque / responsável,72.0,6,1946.0,Deslocamento e busca,0.03699897225077081,17.759506680369988
HFS,Entrada,Registro de entrada (app / sistema do cliente),5.5,5,1946.0,Espera e burocracia,0.0028263103802672147,1.3566289825282631
HFS,Estoque,Deslocamento até o estoque,16.666666666666664,7,1946.0,Deslocamento e busca,0.00856457690990065,4.110996916752312
HFS,Estoque,Localizar produtos no estoque,22.285714285714285,7,1946.0,Deslocamento e busca,0.011452062839524298,5.496990162971663
HFS,Estoque,Organização / arrumação do estoque,28.983333333333334,7,1946.0,Apoio e análise,0.014893799246317233,7.149023638232272
HFS,Estoque,Retorno ao setor com os produtos,24.642857142857142,8,1946.0,Deslocamento e busca,0.012663338716781677,6.078402584055205
HFS,Estoque,Separação de itens para abastecimento,28.316666666666666,8,1946.0,Apoio e análise,0.014551216169921206,6.984583761562179
HFS,Outras Atividades,Busca de produtos ou materiais em outros setores,4.112337662337662,5,1946.0,Deslocamento e busca,0.0021132259313143176,1.0143484470308723
HFS,Outras Atividades,Deslocamento interno dentro da loja,97.78230837789674,3,1946.0,Deslocamento e busca,0.05024784603180717,24.11896609526744
HFS,Outras Atividades,Leitura de loja (checklist / auditoria),87.61564171123001,4,1946.0,Apoio e análise,0.04502345411676773,21.61125797604851
HFS,Outras Atividades,Negociação com encarregado / gerente,5.666666666666666,5,1946.0,Apoio e análise,0.002911956149366221,1.397738951695786
HFS,Outras Atividades,Tratamento de divergências (estoque/preço/validade),32.666666666666664,5,1946.0,Apoio e análise,0.016786570743405275,8.057553956834532
HFS,Ponto Extra,Abastecer seguindo guia de execução + KBD's,14.583333333333332,3,1946.0,Execução (agrega valor),0.007494004796163069,3.597122302158273
HFS,Ponto Extra,Limpeza do móvel / display,4.083333333333334,2,1946.0,Execução (agrega valor),0.00209832134292566,1.0071942446043167
HFS,Ponto Extra,Montagem do display / ponto extra,3.75,2,1946.0,Execução (agrega valor),0.0019270298047276465,0.9249743062692704
HFS,Ponto Extra,Precificar todos os itens,3.583333333333333,2,1946.0,Execução (agrega valor),0.0018413840356286397,0.883864337101747
HFS,Ponto Natural,Abastecimento e organização (Layout/KBDs etc),205.4482174688057,8,1946.0,Execução (agrega valor),0.10557462357081485,50.67581931399113
HFS,Ponto Natural,Buscar itens faltantes no estoque,99.54547152194208,8,1946.0,Deslocamento e busca,0.05115389081291988,24.55386759020154
HFS,Ponto Natural,Limpeza antes do abastecimento,114.08155080213896,7,1946.0,Execução (agrega valor),0.058623612950739444,28.139334216354932
HFS,Ponto Natural,Precificar todos os itens,181.0348187759952,8,1946.0,Execução (agrega valor),0.09302919772661625,44.6540149087758
HFS,Ponto Natural,Validar estoque virtual,15.876190476190477,3,1946.0,Apoio e análise,0.008158371262173935,3.9160182058434887
HFS,Saída,Deixar o setor / estoque,5.0,3,1946.0,Deslocamento e busca,0.0025693730729701952,1.2332990750256938
HFS,Saída,Deslocamento até a saída da loja,6.0,3,1946.0,Deslocamento e busca,0.003083247687564234,1.4799588900308325
HFS,Saída,Guardar equipamentos / materiais,10.0,4,1946.0,Espera e burocracia,0.0051387461459403904,2.4665981500513876
HFS,Saída,Saída da loja (portaria/catraca),8.0,4,1946.0,Espera e burocracia,0.0041109969167523125,1.97327852004111
